Start Lat,Start Long,End Lat,End Long
34.01127,-84.18363,34.01124,-84.18361
34.01124,-84.18361,34.01098,-84.18346
34.01098,-84.18346,34.01056,-84.18322
34.01056,-84.18322,34.0102,-84.18302
34.0102,-84.18302,34.00998,-84.18288
34.00998,-84.18288,34.00971,-84.18268
34.00971,-84.18268,34.00945,-84.18245
34.00945,-84.18245,34.00924,-84.18222
34.00924,-84.18222,34.0091,-84.18208
34.0091,-84.18208,34.00908,-84.18206
34.00908,-84.18206,34.00889,-84.18183
34.00889,-84.18183,34.00865,-84.18146
34.00865,-84.18146,34.00848,-84.18114
34.00848,-84.18114,34.00835,-84.18086
34.00835,-84.18086,34.00821,-84.18048
34.00821,-84.18048,34.00811,-84.18017
34.00811,-84.18017,34.00797,-84.1797
34.00797,-84.1797,34.00788,-84.17941
34.00805,-84.17933,34.00814,-84.17964
34.00814,-84.17964,34.00829,-84.18013
34.00829,-84.18013,34.00831,-84.1802
34.00831,-84.1802,34.00841,-84.1805
34.00841,-84.1805,34.0085,-84.18074
34.0085,-84.18074,34.0086,-84.18096
34.0086,-84.18096,34.00863,-84.18101
34.00863,-84.18101,34.00881,-84.18133
34.00881,-84.18133,34.00891,-84.1815
34.00891,-84.1815,34.00902,-84.18165
34.00902,-84.18165,34.00908,-84.18173
34.00908,-84.18173,34.00919,-84.18187
34.00919,-84.18187,34.00926,-84.18196
34.00926,-84.18196,34.00937,-84.18208
34.00937,-84.18208,34.00945,-84.18217
34.00945,-84.18217,34.00965,-84.18237
34.00965,-84.18237,34.00986,-84.18254
34.00986,-84.18254,34.00992,-84.18258
34.00992,-84.18258,34.01019,-84.18277
34.01019,-84.18277,34.01065,-84.18303
34.01065,-84.18303,34.0113,-84.18341
34.0113,-84.18341,34.0114,-84.18347
34.0114,-84.18347,34.01166,-84.18362
34.01166,-84.18362,34.01183,-84.18371
34.01183,-84.18371,34.01197,-84.18379
34.01197,-84.18379,34.01222,-84.18393
34.01222,-84.18393,34.0123,-84.18398
34.0123,-84.18398,34.01246,-84.18407
34.01246,-84.18407,34.01269,-84.1842
34.01269,-84.1842,34.01309,-84.18442
34.01309,-84.18442,34.01363,-84.18476
34.01363,-84.18476,34.0137,-84.1848
34.0137,-84.1848,34.01398,-84.18498
34.01398,-84.18498,34.01416,-84.1851
34.01416,-84.1851,34.01437,-84.18526
34.01437,-84.18526,34.01449,-84.18535
34.01449,-84.18535,34.01466,-84.18548
34.01466,-84.18548,34.01488,-84.18569
34.01488,-84.18569,34.01517,-84.18599
34.01517,-84.18599,34.01538,-84.18623
34.01538,-84.18623,34.01566,-84.18659
34.01566,-84.18659,34.01595,-84.18697
34.01595,-84.18697,34.01608,-84.18717
34.01608,-84.18717,34.01627,-84.18746
34.01627,-84.18746,34.01647,-84.18774
34.01647,-84.18774,34.0165,-84.18778
34.0165,-84.18778,34.01661,-84.18794
34.01661,-84.18794,34.01676,-84.18814
34.01676,-84.18814,34.01706,-84.18856
34.01706,-84.18856,34.01723,-84.1888
34.01723,-84.1888,34.01739,-84.18902
34.01739,-84.18902,34.01751,-84.1892
34.01751,-84.1892,34.01775,-84.18954
34.01775,-84.18954,34.01782,-84.18964
34.01782,-84.18964,34.01799,-84.18991
34.01799,-84.18991,34.01808,-84.19004
34.01808,-84.19004,34.01838,-84.19046
34.01838,-84.19046,34.01865,-84.19083
34.01865,-84.19083,34.01878,-84.19099
34.01878,-84.19099,34.01886,-84.1911
34.01886,-84.1911,34.01899,-84.19128
34.01899,-84.19128,34.01906,-84.19137
34.01906,-84.19137,34.01916,-84.19151
34.01916,-84.19151,34.01935,-84.1918
34.01935,-84.1918,34.01954,-84.19207
34.01954,-84.19207,34.0197,-84.19231
34.0197,-84.19231,34.01993,-84.19263
34.01993,-84.19263,34.02042,-84.19339
34.02042,-84.19339,34.02048,-84.19348
34.02048,-84.19348,34.02054,-84.19358
34.02054,-84.19358,34.0209,-84.1942
34.0209,-84.1942,34.02094,-84.19426
34.02094,-84.19426,34.0211,-84.19454
34.0211,-84.19454,34.02129,-84.19486
34.02129,-84.19486,34.02141,-84.19507
34.02141,-84.19507,34.02184,-84.1957
34.02184,-84.1957,34.02196,-84.19587
34.02196,-84.19587,34.02219,-84.19617
34.02219,-84.19617,34.02225,-84.19624
34.02225,-84.19624,34.02244,-84.19646
34.02244,-84.19646,34.0227,-84.19673
34.0227,-84.19673,34.02313,-84.19716
34.02313,-84.19716,34.02331,-84.19734
34.02331,-84.19734,34.02356,-84.19759
34.02356,-84.19759,34.02381,-84.19786
34.02381,-84.19786,34.02395,-84.19803
34.02395,-84.19803,34.024,-84.19809
34.024,-84.19809,34.02415,-84.19832
34.02415,-84.19832,34.02428,-84.19851
34.02428,-84.19851,34.02438,-84.1987
34.02438,-84.1987,34.02447,-84.19889
34.02447,-84.19889,34.02456,-84.19908
34.02456,-84.19908,34.02468,-84.19936
34.02468,-84.19936,34.02477,-84.19956
34.02477,-84.19956,34.02495,-84.19996
34.02495,-84.19996,34.02515,-84.20041
34.02515,-84.20041,34.0253,-84.20071
34.0253,-84.20071,34.02547,-84.20095
34.02547,-84.20095,34.02566,-84.2012
34.02566,-84.2012,34.02596,-84.20152
34.02596,-84.20152,34.0263,-84.20179
34.0263,-84.20179,34.02651,-84.20195
34.02651,-84.20195,34.02694,-84.20228
34.02694,-84.20228,34.02735,-84.2026
34.02735,-84.2026,34.02763,-84.20281
34.02763,-84.20281,34.02791,-84.20308
34.02791,-84.20308,34.02816,-84.20337
34.02816,-84.20337,34.02829,-84.20353
34.02829,-84.20353,34.02842,-84.20374
34.02842,-84.20374,34.02849,-84.20384
34.02849,-84.20384,34.02878,-84.20429
34.02878,-84.20429,34.02912,-84.20481
34.02912,-84.20481,34.02936,-84.20517
34.02936,-84.20517,34.02942,-84.20526
34.02942,-84.20526,34.02962,-84.20558
34.02962,-84.20558,34.02978,-84.20584
34.02978,-84.20584,34.02991,-84.20604
34.02991,-84.20604,34.03011,-84.20645
34.03011,-84.20645,34.03025,-84.20674
34.03025,-84.20674,34.03042,-84.20716
34.03042,-84.20716,34.03059,-84.20768
34.03059,-84.20768,34.03064,-84.20785
34.03064,-84.20785,34.03083,-84.20846
34.03083,-84.20846,34.03098,-84.20885
34.03098,-84.20885,34.03116,-84.20922
34.03116,-84.20922,34.03135,-84.20951
34.03135,-84.20951,34.03141,-84.2096
34.03141,-84.2096,34.03154,-84.20979
34.03154,-84.20979,34.03165,-84.20994
34.03165,-84.20994,34.03179,-84.2101
34.03179,-84.2101,34.03234,-84.21072
34.03234,-84.21072,34.03276,-84.21119
34.03276,-84.21119,34.03298,-84.21144
34.03298,-84.21144,34.03332,-84.21183
34.03332,-84.21183,34.03374,-84.2123
34.03374,-84.2123,34.03403,-84.21262
34.03403,-84.21262,34.03439,-84.21303
34.03439,-84.21303,34.0348,-84.2135
34.0348,-84.2135,34.03519,-84.21394
34.03519,-84.21394,34.03549,-84.21428
34.03549,-84.21428,34.03557,-84.21437
34.03557,-84.21437,34.03594,-84.21479
34.03594,-84.21479,34.03631,-84.21521
34.03631,-84.21521,34.03657,-84.21551
34.03657,-84.21551,34.0368,-84.21579
34.0368,-84.21579,34.03697,-84.21601
34.03697,-84.21601,34.03707,-84.21614
34.03707,-84.21614,34.03735,-84.2165
34.03735,-84.2165,34.03772,-84.21699
34.03772,-84.21699,34.03809,-84.21747
34.03809,-84.21747,34.03825,-84.21767
34.03825,-84.21767,34.03854,-84.21804
34.03854,-84.21804,34.03876,-84.21826
34.03876,-84.21826,34.03883,-84.21833
34.03883,-84.21833,34.03913,-84.21859
34.03913,-84.21859,34.03949,-84.21884
34.03949,-84.21884,34.03953,-84.21887
34.03953,-84.21887,34.03972,-84.21899
34.03972,-84.21899,34.03999,-84.21913
34.03999,-84.21913,34.04006,-84.21916
34.04006,-84.21916,34.04079,-84.21949
34.04079,-84.21949,34.04109,-84.21963
34.04109,-84.21963,34.04165,-84.21989
34.04165,-84.21989,34.04198,-84.22004
34.04198,-84.22004,34.04238,-84.22022
34.04238,-84.22022,34.04302,-84.22052
34.04302,-84.22052,34.0431,-84.22056
34.0431,-84.22056,34.04357,-84.22083
34.04357,-84.22083,34.0438,-84.22098
34.0438,-84.22098,34.04395,-84.22108
34.04395,-84.22108,34.04432,-84.22132
34.04432,-84.22132,34.04453,-84.22146
34.04453,-84.22146,34.04474,-84.22161
34.04474,-84.22161,34.0451,-84.22186
34.0451,-84.22186,34.04542,-84.22209
34.04542,-84.22209,34.04546,-84.22212
34.04546,-84.22212,34.04658,-84.22291
34.04658,-84.22291,34.0467,-84.223
34.0467,-84.223,34.04699,-84.2232
34.00788,-84.17941,34.0078,-84.17916
34.0078,-84.17916,34.00757,-84.1783
34.00757,-84.1783,34.00751,-84.17807
34.00751,-84.17807,34.00745,-84.17786
34.00745,-84.17786,34.00746,-84.1777
34.00746,-84.1777,34.00727,-84.17724
34.00727,-84.17724,34.00718,-84.17701
34.00718,-84.17701,34.00716,-84.17697
34.00716,-84.17697,34.00684,-84.17623
34.00684,-84.17623,34.00675,-84.17604
34.00675,-84.17604,34.00666,-84.17587
34.00666,-84.17587,34.00651,-84.17566
34.00651,-84.17566,34.00632,-84.17538
34.00632,-84.17538,34.0059,-84.1749
34.0059,-84.1749,34.00575,-84.17474
34.00575,-84.17474,34.00568,-84.17468
34.00568,-84.17468,34.00549,-84.17449
34.00549,-84.17449,34.00544,-84.17444
34.00544,-84.17444,34.00535,-84.17436
34.00535,-84.17436,34.00524,-84.17425
34.00524,-84.17425,34.00505,-84.17399
34.00505,-84.17399,34.00503,-84.17396
34.00503,-84.17396,34.00494,-84.17383
34.00494,-84.17383,34.00489,-84.17376
34.00489,-84.17376,34.00482,-84.17364
34.00482,-84.17364,34.00478,-84.17354
34.00478,-84.17354,34.00466,-84.17326
34.00466,-84.17326,34.00456,-84.17301
34.00456,-84.17301,34.00447,-84.17272
34.00447,-84.17272,34.00437,-84.17228
34.00437,-84.17228,34.00434,-84.17195
34.00434,-84.17195,34.00433,-84.1717
34.00433,-84.1717,34.00432,-84.17147
34.00432,-84.17147,34.00433,-84.17134
34.00433,-84.17134,34.00435,-84.17096
34.00435,-84.17096,34.00436,-84.17081
34.00436,-84.17081,34.00444,-84.17026
34.00444,-84.17026,34.00445,-84.17014
34.00445,-84.17014,34.0045,-84.16968
34.0045,-84.16968,34.00451,-84.16939
34.00451,-84.16939,34.0045,-84.16914
34.0045,-84.16914,34.0045,-84.16901
34.0045,-84.16901,34.00448,-84.16881
34.00448,-84.16881,34.0044,-84.16824
34.0044,-84.16824,34.00434,-84.16792
34.00434,-84.16792,34.00425,-84.16757
34.00425,-84.16757,34.00422,-84.16749
34.00422,-84.16749,34.0041,-84.16717
34.0041,-84.16717,34.00388,-84.16668
34.00388,-84.16668,34.00354,-84.16595
34.00354,-84.16595,34.00314,-84.1651
34.00314,-84.1651,34.00311,-84.16503
34.00311,-84.16503,34.00277,-84.16429
34.00277,-84.16429,34.00256,-84.16385
34.00256,-84.16385,34.00243,-84.16359
34.00243,-84.16359,34.0023,-84.16331
34.0023,-84.16331,34.00211,-84.16297
34.00211,-84.16297,34.00195,-84.16275
34.00195,-84.16275,34.00177,-84.16249
34.00177,-84.16249,34.00168,-84.16241
34.00168,-84.16241,34.00158,-84.16232
34.00158,-84.16232,34.00152,-84.16226
34.00152,-84.16226,34.00145,-84.1622
34.00145,-84.1622,34.00125,-84.16204
34.00125,-84.16204,34.0012,-84.162
34.0012,-84.162,34.00117,-84.16198
34.00117,-84.16198,34.00103,-84.16188
34.00103,-84.16188,34.00084,-84.16178
34.00084,-84.16178,34.00055,-84.16164
34.00055,-84.16164,34.00038,-84.16167
34.00038,-84.16167,34.00025,-84.16169
34.00025,-84.16169,34.00003,-84.16165
34.00003,-84.16165,33.99977,-84.16162
33.99977,-84.16162,33.99958,-84.16161
33.99958,-84.16161,33.99947,-84.1616
33.99947,-84.1616,33.99925,-84.1616
33.99925,-84.1616,33.99904,-84.16165
33.99904,-84.16165,33.99895,-84.16167
33.99895,-84.16167,33.99835,-84.16184
33.99835,-84.16184,33.99801,-84.16193
33.99801,-84.16193,33.99756,-84.16206
33.99756,-84.16206,33.99724,-84.16215
33.99724,-84.16215,33.99721,-84.16216
33.99721,-84.16216,33.99711,-84.16218
33.99711,-84.16218,33.99704,-84.1622
33.99704,-84.1622,33.99668,-84.16232
33.99668,-84.16232,33.99623,-84.16244
33.99623,-84.16244,33.99615,-84.16246
33.99615,-84.16246,33.99603,-84.1625
33.99603,-84.1625,33.99576,-84.16258
